gamma,Re L,Im L,|L|
24.2861,-1738.166801,612.008677,1842.763807
24.3061,-1695.581711,712.518888,1839.206487
24.3261,-1647.178829,810.301545,1835.697875
24.3461,-1593.127129,905.019147,1832.242807
24.3661,-1533.615184,996.344522,1828.846067
24.3861,-1468.850545,1083.961965,1825.512384
24.4061,-1399.059045,1167.568340,1822.246427
24.4261,-1324.484038,1246.874142,1819.052801
24.4461,-1245.385581,1321.604505,1815.936043
24.4661,-1162.039556,1391.500172,1812.900620
24.4861,-1074.736734,1456.318406,1809.950924
24.5061,-983.781789,1515.833843,1807.091267
24.5261,-889.492260,1569.839293,1804.325882
24.5461,-792.197472,1618.146473,1801.658914
24.5661,-692.237411,1660.586676,1799.094422
24.5861,-589.961558,1697.011378,1796.636373
24.6062,-485.727700,1727.292771,1794.288638
24.6262,-379.900699,1751.324229,1792.054992
24.6462,-272.851238,1769.020695,1789.939110
24.6662,-164.954554,1780.319005,1787.944564
24.6862,-56.589138,1785.178123,1786.074819
24.7062,51.864560,1783.579311,1784.333234
24.7262,160.025448,1775.526217,1782.723055
24.7462,267.513108,1761.044888,1781.247417
24.7662,373.949107,1740.183702,1779.909338
24.7862,478.958312,1713.013227,1778.711720
24.8062,582.170181,1679.626004,1777.657344
24.8262,683.220060,1640.136244,1776.748871
24.8462,781.750437,1594.679466,1775.988836
24.8662,877.412193,1543.412047,1775.379650
24.8862,969.865815,1486.510705,1774.923597
24.9062,1058.782578,1424.171913,1774.622829
24.9262,1143.845693,1356.611242,1774.479369
24.9462,1224.751418,1284.062635,1774.495108
24.9662,1301.210116,1206.777623,1774.671800
24.9862,1372.947274,1125.024473,1775.011066
25.0063,1439.704470,1039.087281,1775.514387
25.0263,1501.240278,949.265009,1776.183107
25.0463,1557.331126,855.870469,1777.018429
25.0663,1607.772086,759.229257,1778.021413
25.0863,1652.377602,659.678648,1779.192979
25.1063,1690.982152,557.566438,1780.533900
25.1263,1723.440844,453.249761,1782.044806
25.1463,1749.629938,347.093865,1783.726176
25.1663,1769.447299,239.470857,1785.578347
25.1863,1782.812769,130.758436,1787.601504
25.2063,1789.668474,21.338585,1789.795682
25.2263,1789.979047,-88.403732,1792.160766
25.2463,1783.731777,-198.081900,1794.696490
25.2663,1770.936673,-307.308983,1797.402435
25.2863,1751.626466,-415.699057,1800.278029
25.3063,1725.856511,-522.868543,1803.322547
25.3263,1693.704630,-628.437529,1806.535110
25.3463,1655.270868,-732.031087,1809.914682
25.3663,1610.677169,-833.280566,1813.460075
25.3863,1560.066990,-931.824874,1817.169945
25.4064,1503.604823,-1027.311725,1821.042790
25.4264,1441.475658,-1119.398866,1825.076956
25.4464,1373.884369,-1207.755265,1829.270631
25.4664,1301.055031,-1292.062263,1833.621849
25.4864,1223.230171,-1372.014684,1838.128489
25.5064,1140.669955,-1447.321900,1842.788276
25.5264,1053.651316,-1517.708849,1847.598778
25.5464,962.467016,-1582.916995,1852.557414
25.5664,867.424665,-1642.705240,1857.661447
25.5864,768.845674,-1696.850765,1862.907992
25.6064,667.064171,-1745.149823,1868.294011
25.6264,562.425867,-1787.418457,1873.816319
25.6464,455.286884,-1823.493154,1879.471582
25.6664,346.012539,-1853.231427,1885.256322
25.6864,234.976109,-1876.512331,1891.166915
25.7064,122.557553,-1893.236899,1897.199597
25.7264,9.142222,-1903.328507,1903.350463
25.7464,-104.880460,-1906.733159,1909.615472
25.7664,-219.118323,-1903.419699,1915.990446
25.7864,-333.177791,-1893.379941,1922.471077
25.8065,-446.665232,-1876.628721,1929.052925
25.8265,-559.188297,-1853.203874,1935.731425
25.8465,-670.357273,-1823.166126,1942.501891
25.8665,-779.786411,-1786.598908,1949.359512
25.8865,-887.095255,-1743.608102,1956.299365
25.9065,-991.909942,-1694.321693,1963.316412
25.9265,-1093.864490,-1638.889361,1970.405507
25.9465,-1192.602055,-1577.481989,1977.561399
25.9665,-1287.776155,-1510.291101,1984.778737
25.9865,-1379.051868,-1437.528227,1992.052072
26.0065,-1466.106981,-1359.424202,1999.375863
26.0265,-1548.633105,-1276.228401,2006.744484
26.0465,-1626.336733,-1188.207898,2014.152223
26.0665,-1698.940262,-1095.646580,2021.593293
26.0865,-1766.182946,-998.844190,2029.061831
26.1065,-1827.821802,-898.115325,2036.551909
26.1265,-1883.632453,-793.788373,2044.057533
26.1465,-1933.409905,-686.204412,2051.572655
26.1665,-1976.969264,-575.716059,2059.091172
26.1865,-2014.146378,-462.686280,2066.606936
26.2066,-2044.798412,-347.487165,2074.113756
26.2266,-2068.804350,-230.498670,2081.605408
26.2466,-2086.065425,-112.107336,2089.075636
26.2666,-2096.505469,7.295023,2096.518160
26.2866,-2100.071184,127.312643,2103.926683
26.3066,-2096.732347,247.547149,2111.294893
26.3266,-2086.481921,367.598908,2118.616474
26.3466,-2069.336095,487.068379,2125.885106
26.3666,-2045.334250,605.557472,2133.094476
26.3866,-2014.538828,722.670891,2140.238283
26.4066,-1977.035147,838.017479,2147.310240
26.4266,-1932.931115,951.211543,2154.304086
26.4466,-1882.356881,1061.874162,2161.213586
26.4666,-1825.464405,1169.634476,2168.032541
26.4866,-1762.426955,1274.130936,2174.754794
26.5066,-1693.438529,1375.012540,2181.374231
26.5266,-1618.713211,1471.940016,2187.884794
26.5466,-1538.484454,1564.586978,2194.280480
26.5666,-1453.004297,1652.641031,2200.555354
26.5866,-1362.542522,1735.804833,2206.703546
26.6067,-1267.385747,1813.797099,2212.719266
26.6267,-1167.836467,1886.353559,2218.596800
26.6467,-1064.212032,1953.227850,2224.330525
26.6667,-956.843584,2014.192357,2229.914908
26.6867,-846.074941,2069.038977,2235.344513
26.7067,-732.261440,2117.579826,2240.614008
26.7267,-615.768738,2159.647877,2245.718168
26.7467,-496.971588,2195.097523,2250.651882
26.7667,-376.252569,2223.805067,2255.410156
26.7867,-254.000801,2245.669141,2259.988119
26.8067,-130.610635,2260.611047,2264.381029
26.8267,-6.480325,2268.575021,2268.584276
26.8467,117.989315,2269.528416,2272.593388
26.8667,242.396258,2263.461813,2276.404034
26.8867,366.338618,2250.389048,2280.012028
26.9067,489.416002,2230.347158,2283.413337
26.9267,611.230855,2203.396255,2286.604080
26.9467,731.389801,2169.619317,2289.580534
26.9667,849.504959,2129.121901,2292.339142
26.9867,965.195246,2082.031779,2294.876509
27.0068,1078.087662,2028.498504,2297.189411
27.0268,1187.818532,1968.692897,2299.274796
27.0468,1294.034730,1902.806460,2301.129789
27.0668,1396.394859,1831.050728,2302.751695
27.0868,1494.570390,1753.656542,2304.137999
27.1068,1588.246765,1670.873266,2305.286372
27.1268,1677.124437,1582.967937,2306.194672
27.1468,1760.919875,1490.224356,2306.860949
27.1668,1839.366499,1392.942124,2307.283441
27.1868,1912.215571,1291.435621,2307.460586
27.2068,1979.237009,1186.032945,2307.391013
27.2268,2040.220152,1077.074789,2307.073551
27.2468,2094.974448,964.913297,2306.507231
27.2668,2143.330076,849.910861,2305.691282
27.2868,2185.138502,732.438900,2304.625135
27.3068,2220.272953,612.876601,2303.308428
27.3268,2248.628824,491.609637,2301.740999
27.3468,2270.124008,369.028864,2299.922893
27.3668,2284.699143,245.529005,2297.854362
27.3868,2292.317792,121.507314,2295.535860
27.4069,2292.966534,-2.637759,2292.968051
27.4269,2286.654985,-126.507912,2290.151801
27.4469,2273.415738,-249.706325,2287.088185
27.4669,2253.304220,-371.838998,2283.778480
27.4869,2226.398480,-492.516070,2280.224171
27.5069,2192.798895,-611.353122,2276.426944
27.5269,2152.627799,-727.972471,2272.388690
27.5469,2106.029042,-842.004422,2268.111499
27.5669,2053.167475,-953.088508,2263.597664
27.5869,1994.228361,-1060.874683,2258.849674
27.6069,1929.416723,-1165.024491,2253.870217
27.6269,1858.956619,-1265.212183,2248.662176
27.6469,1783.090358,-1361.125796,2243.228624
27.6669,1702.077653,-1452.468183,2237.572827
27.6869,1616.194715,-1538.957983,2231.698239
27.7069,1525.733297,-1620.330549,2225.608497
27.7269,1430.999678,-1696.338810,2219.307423
27.7469,1332.313606,-1766.754068,2212.799015
27.7669,1230.007192,-1831.366741,2206.087449
27.7869,1124.423770,-1889.987033,2199.177073
27.8070,1015.916711,-1942.445534,2192.072402
27.8270,904.848214,-1988.593758,2184.778118
27.8470,791.588061,-2028.304599,2177.299062
27.8670,676.512355,-2061.472718,2169.640231
27.8870,560.002233,-2088.014854,2161.806775
27.9070,442.442567,-2107.870064,2153.803991
27.9270,324.220652,-2120.999873,2145.637316
27.9470,205.724893,-2127.388366,2137.312329
27.9670,87.343484,-2127.042183,2128.834736
27.9870,-30.536906,-2119.990454,2120.210373
28.0070,-147.532440,-2106.284642,2111.445196
28.0270,-263.263408,-2085.998326,2102.545276
28.0470,-377.355506,-2059.226891,2093.516794
28.0670,-489.441094,-2026.087159,2084.366033
28.0870,-599.160429,-1986.716940,2075.099375
28.1070,-706.162867,-1941.274510,2065.723292
28.1270,-810.108033,-1889.938027,2056.244337
28.1470,-910.666955,-1832.904875,2046.669144
28.1670,-1007.523151,-1770.390941,2037.004414
28.1870,-1100.373678,-1702.629838,2027.256914
28.2071,-1188.930130,-1629.872059,2017.433465
28.2271,-1272.919579,-1552.384086,2007.540935
28.2471,-1352.085469,-1470.447432,1997.586235
28.2671,-1426.188447,-1384.357648,1987.576309
28.2871,-1495.007133,-1294.423271,1977.518125
28.3071,-1558.338829,-1200.964742,1967.418669
28.3271,-1616.000162,-1104.313270,1957.284936
28.3471,-1667.827654,-1004.809679,1947.123924
28.3671,-1713.678233,-902.803208,1936.942621
28.3871,-1753.429659,-798.650299,1926.748003
28.4071,-1786.980888,-692.713349,1916.547020
28.4271,-1814.252360,-585.359459,1906.346590
28.4471,-1835.186206,-476.959155,1896.153593
28.4671,-1849.746389,-367.885109,1885.974856
28.4871,-1857.918761,-258.510857,1875.817151
28.5071,-1859.711051,-149.209508,1865.687185
28.5271,-1855.152774,-40.352466,1855.591587
28.5471,-1844.295065,67.691843,1845.536906
28.5671,-1827.210437,174.559230,1835.529598
28.5871,-1803.992473,279.890986,1825.576021
28.6072,-1774.755438,383.335097,1815.682423
28.6272,-1739.633819,484.547446,1805.854936
28.6472,-1698.781808,583.192966,1796.099571
28.6672,-1652.372705,678.946779,1786.422202
28.6872,-1600.598262,771.495280,1776.828569
28.7072,-1543.667965,860.537190,1767.324261
28.7272,-1481.808255,945.784561,1757.914714
28.7472,-1415.261691,1026.963729,1748.605203
28.7672,-1344.286063,1103.816218,1739.400835
28.7872,-1269.153451,1176.099593,1730.306543
28.8072,-1190.149233,1243.588243,1721.327080
28.8272,-1107.571062,1306.074120,1712.467011
28.8472,-1021.727787,1363.367400,1703.730712
28.8672,-932.938350,1415.297091,1695.122362
28.8872,-841.530642,1461.711563,1686.645937
28.9072,-747.840340,1502.479019,1678.305210
28.9272,-652.209707,1537.487892,1670.103745
28.9472,-554.986387,1566.647164,1662.044893
28.9672,-456.522174,1589.886627,1654.131791
28.9872,-357.171768,1607.157058,1646.367359
29.0073,-257.291537,1618.430325,1638.754298
29.0273,-157.238260,1623.699417,1631.295089
29.0473,-57.367884,1622.978409,1623.991992
29.0673,41.965718,1616.302339,1616.847047
29.0873,140.411981,1603.727024,1609.862073
29.1073,237.624859,1585.328799,1603.038669
29.1273,333.264027,1561.204182,1596.378216
29.1473,426.996054,1531.469479,1589.881881
29.1673,518.495548,1496.260309,1583.550613
29.1873,607.446276,1455.731070,1577.385154
29.2073,693.542241,1410.054338,1571.386037
29.2273,776.488727,1359.420208,1565.553591
29.2473,856.003300,1304.035566,1559.887947
29.2673,931.816760,1244.123314,1554.389042
29.2873,1003.674048,1179.921533,1549.056622
29.3073,1071.335102,1111.682603,1543.890252
29.3273,1134.575651,1039.672268,1538.889317
29.3473,1193.187961,964.168656,1534.053033
29.3673,1246.981517,885.461268,1529.380450
29.3873,1295.783635,803.849916,1524.870459
29.4074,1339.440027,719.643636,1520.521802
29.4274,1377.815282,633.159572,1516.333076
29.4474,1410.793292,544.721827,1512.302741
29.4674,1438.277599,454.660302,1508.429130
29.4874,1460.191683,363.309507,1504.710453
29.5074,1476.479168,271.007370,1501.144806
29.5274,1487.103966,178.094029,1497.730179
29.5474,1492.050340,84.910620,1494.464463
29.5674,1491.322903,-8.201931,1491.345458
29.5874,1484.946542,-100.904116,1488.370879
29.6074,1472.966269,-192.859044,1485.538367
29.6274,1455.447001,-283.733630,1482.845490
29.6474,1432.473280,-373.199760,1480.289755
29.6674,1404.148907,-460.935446,1477.868613
29.6874,1370.596525,-546.625947,1475.579466
29.7074,1331.957126,-629.964871,1473.419670
29.7274,1288.389504,-710.655233,1471.386548
29.7474,1240.069632,-788.410490,1469.477387
29.7674,1187.189996,-862.955526,1467.689451
29.7874,1129.958861,-934.027599,1466.019980
29.8075,1068.599488,-1001.377243,1464.466199
29.8275,1003.349298,-1064.769118,1463.025320
29.8475,934.458987,-1123.982808,1461.694548
29.8675,862.191600,-1178.813566,1460.471081
29.8875,786.821560,-1229.073000,1459.352119
29.9075,708.633659,-1274.589701,1458.334861
29.9275,627.922016,-1315.209806,1457.416513
29.9475,544.989006,-1350.797503,1456.594285
29.9675,460.144157,-1381.235467,1455.865399
29.9875,373.703032,-1406.425225,1455.227086
30.0075,285.986085,-1426.287466,1454.676589
30.0275,197.317503,-1440.762268,1454.211164
30.0475,108.024047,-1449.809263,1453.828083
30.0675,18.433873,-1453.407734,1453.524630
30.0875,-71.124641,-1451.556637,1453.298106
30.1075,-160.324066,-1444.274554,1453.145827
30.1275,-248.839092,-1431.599580,1453.065123
30.1475,-336.347681,-1413.589136,1453.053340
30.1675,-422.532211,-1390.319718,1453.107837
30.1875,-507.080599,-1361.886574,1453.225989
30.2076,-589.687403,-1328.403324,1453.405182
30.2276,-670.054897,-1290.001500,1453.642816
30.2476,-747.894117,-1246.830043,1453.936300
30.2676,-822.925871,-1199.054720,1454.283057
30.2876,-894.881716,-1146.857497,1454.680517
30.3076,-963.504890,-1090.435850,1455.126117
30.3276,-1028.551204,-1030.002017,1455.617303
30.3476,-1089.789884,-965.782211,1456.151528
30.3676,-1147.004368,-898.015777,1456.726246
30.3876,-1199.993045,-826.954303,1457.338919
30.4076,-1248.569941,-752.860692,1457.987010
30.4276,-1292.565354,-676.008202,1458.667982
30.4476,-1331.826414,-596.679438,1459.379303
30.4676,-1366.217604,-515.165321,1460.118437
30.4876,-1395.621194,-431.764032,1460.882849
30.5076,-1419.937632,-346.779928,1461.670003
30.5276,-1439.085853,-260.522436,1462.477361
30.5476,-1453.003532,-173.304938,1463.302384
30.5676,-1461.647264,-85.443640,1464.142527
30.5876,-1464.992678,2.743565,1464.995247
30.6077,-1463.034483,90.938240,1465.857995
30.6277,-1455.786446,178.822543,1466.728223
30.6477,-1443.281300,266.080364,1467.603377
30.6677,-1425.570587,352.398451,1468.480905
30.6877,-1402.724434,437.467527,1469.358252
30.7077,-1374.831259,520.983386,1470.232866
30.7277,-1341.997421,602.647974,1471.102192
30.7477,-1304.346796,682.170439,1471.963679
30.7677,-1262.020300,759.268159,1472.814780
30.7877,-1215.175349,833.667736,1473.652951
30.8077,-1163.985256,905.105952,1474.475656
30.8277,-1108.638584,973.330697,1475.280365
30.8477,-1049.338437,1038.101839,1476.064559
30.8677,-986.301701,1099.192063,1476.825730
30.8877,-919.758239,1156.387661,1477.561383
30.9077,-849.950047,1209.489261,1478.269041
30.9277,-777.130356,1258.312519,1478.946241
30.9477,-701.562705,1302.688740,1479.590545
30.9677,-623.519978,1342.465456,1480.199535
30.9877,-543.283407,1377.506934,1480.770818
31.0078,-461.141548,1407.694631,1481.302029
31.0278,-377.389234,1432.927579,1481.790836
31.0478,-292.326506,1453.122714,1482.234937
31.0678,-206.257531,1468.215132,1482.632066
31.0878,-119.489500,1478.158291,1482.979998
31.1078,-32.331529,1482.924133,1483.276546
31.1278,54.906458,1482.503152,1483.519570
31.1478,141.914834,1476.904387,1483.706975
31.1678,228.385382,1466.155353,1483.836716
31.1878,314.012391,1450.301903,1483.906801
31.2078,398.493747,1429.408032,1483.915290
31.2278,481.532007,1403.555603,1483.860305
31.2478,562.835453,1372.844023,1483.740024
31.2678,642.119129,1337.389850,1483.552691
31.2878,719.105840,1297.326341,1483.296614
31.3078,793.527135,1252.802938,1482.970167
31.3278,865.124247,1203.984704,1482.571796
31.3478,933.648998,1151.051699,1482.100019
31.3678,998.864673,1094.198301,1481.553427
31.3878,1060.546834,1033.632485,1480.930688
31.4079,1118.484108,969.575049,1480.230548
31.4279,1172.478910,902.258796,1479.451835
31.4479,1222.348128,831.927676,1478.593455
31.4679,1267.923743,758.835890,1477.654400
31.4879,1309.053405,683.246955,1476.633745
31.5079,1345.600944,605.432747,1475.530654
31.5279,1377.446825,525.672503,1474.344375
31.5479,1404.488539,444.251811,1473.074244
31.5679,1426.640942,361.461568,1471.719689
31.5879,1443.836516,277.596930,1470.280225
31.6079,1456.025578,192.956245,1468.755458
31.6279,1463.176423,107.839974,1467.145086
31.6479,1465.275395,22.549614,1465.448896
31.6679,1462.326902,-62.613389,1463.666767
31.6879,1454.353364,-147.348719,1461.798670
31.7079,1441.395087,-231.358267,1459.844665
31.7279,1423.510091,-314.347192,1457.804903
31.7479,1400.773855,-396.024975,1455.679626
31.7679,1373.279018,-476.106452,1453.469166
31.7879,1341.135003,-554.312826,1451.173940
31.8080,1304.467593,-630.372650,1448.794457
31.8280,1263.418444,-704.022795,1446.331311
31.8480,1218.144541,-775.009368,1443.785179
31.8680,1168.817604,-843.088611,1441.156826
31.8880,1115.623438,-908.027750,1438.447096
31.9080,1058.761236,-969.605812,1435.656918
31.9280,998.442836,-1027.614392,1432.787296
31.9480,934.891931,-1081.858374,1429.839314
31.9680,868.343239,-1132.156609,1426.814132
31.9880,799.041635,-1178.342529,1423.712981
32.0080,727.241254,-1220.264724,1420.537165
32.0280,653.204548,-1257.787446,1417.288058
32.0480,577.201331,-1290.791068,1413.967100
32.0680,499.507788,-1319.172483,1410.575794
32.0880,420.405470,-1342.845432,1407.115708
32.1080,340.180265,-1361.740787,1403.588467
32.1280,259.121363,-1375.806758,1399.995756
32.1480,177.520203,-1385.009044,1396.339312
32.1680,95.669420,-1389.330919,1392.620925
32.1880,13.861787,-1388.773257,1388.842435
32.2081,-67.610841,-1383.354488,1385.005727
32.2281,-148.458578,-1373.110495,1381.112733
32.2481,-228.394549,-1358.094451,1377.165425
32.2681,-307.135918,-1338.376583,1373.165813
32.2881,-384.404903,-1314.043890,1369.115946
32.3081,-459.929764,-1285.199788,1365.017906
32.3281,-533.445778,-1251.963704,1360.873805
32.3481,-604.696176,-1214.470610,1356.685788
32.3681,-673.433054,-1172.870503,1352.456023
32.3881,-739.418257,-1127.327830,1348.186707
32.4081,-802.424213,-1078.020865,1343.880055
32.4281,-862.234736,-1025.141032,1339.538307
32.4481,-918.645788,-968.892188,1335.163718
32.4681,-971.466190,-909.489856,1330.758565
32.4881,-1020.518288,-847.160426,1326.325134
32.5081,-1065.638567,-782.140305,1321.865731
32.5281,-1106.678220,-714.675045,1317.382671
32.5481,-1143.503652,-645.018434,1312.878282
32.5681,-1175.996937,-573.431557,1308.354901
32.5881,-1204.056211,-500.181835,1303.814875
32.6082,-1227.596014,-425.542043,1299.260560
32.6282,-1246.547563,-349.789309,1294.694322
32.6482,-1260.858972,-273.204097,1290.118531
32.6682,-1270.495405,-196.069186,1285.535569
32.6882,-1275.439171,-118.668634,1280.947823
32.7082,-1275.689756,-41.286745,1276.357689
32.7282,-1271.263788,35.792964,1271.767571
32.7482,-1262.194947,112.288794,1267.179883
32.7682,-1248.533809,187.921884,1262.597049
32.7882,-1230.347634,262.417223,1258.021502
32.8082,-1207.720083,335.504640,1253.455688
32.8282,-1180.750891,406.919781,1248.902067
32.8482,-1149.555468,476.405062,1244.363113
32.8682,-1114.264455,543.710593,1239.841315
32.8882,-1075.023221,608.595076,1235.339181
32.9082,-1031.991302,670.826669,1230.859240
32.9282,-985.341802,730.183815,1226.404040
32.9482,-935.260732,786.456033,1221.976157
32.9682,-881.946313,839.444665,1217.578189
32.9882,-825.608234,888.963585,1213.212764
33.0083,-766.466862,934.839853,1208.882542
33.0283,-704.752426,976.914326,1204.590214
33.0483,-640.704159,1015.042222,1200.338507
33.0683,-574.569407,1049.093617,1196.130185
33.0883,-506.602719,1078.953905,1191.968055
33.1083,-437.064899,1104.524188,1187.854961
33.1283,-366.222049,1125.721619,1183.793796
33.1483,-294.344587,1142.479673,1179.787497
33.1683,-221.706250,1154.748375,1175.839050
33.1883,-148.583093,1162.494455,1171.951490
33.2083,-75.252471,1165.701448,1168.127904
33.2283,-1.992028,1164.369728,1164.371432
33.2483,70.921322,1158.516491,1160.685269
33.2683,143.212409,1148.175662,1157.072662
33.2883,214.608804,1133.397755,1153.536913
33.3083,284.841822,1114.249668,1150.081382
33.3283,353.647494,1090.814413,1146.709481
33.3483,420.767529,1063.190799,1143.424675
33.3683,485.950254,1031.493049,1140.230485
33.3883,548.951527,995.850366,1137.130481
33.4084,609.535621,956.406443,1134.128281
33.4284,667.476081,913.318922,1131.227551
33.4484,722.556542,866.758802,1128.431999
33.4684,774.571508,816.909801,1125.745373
33.4884,823.327099,763.967672,1123.171455
33.5084,868.641746,708.139473,1120.714057
33.5284,910.346846,649.642800,1118.377015
33.5484,948.287368,588.704983,1116.164186
33.5684,982.322408,525.562243,1114.079433
33.5884,1012.325694,460.458824,1112.126629
33.6084,1038.186037,393.646091,1110.309638
33.6284,1059.807729,325.381605,1108.632315
33.6484,1077.110875,255.928179,1107.098492
33.6684,1090.031685,185.552910,1105.711969
33.6884,1098.522689,114.526201,1104.476504
33.7084,1102.552903,43.120771,1103.395806
33.7284,1102.107935,-28.389344,1102.473516
33.7484,1097.190026,-99.729793,1101.713204
33.7684,1087.818035,-170.626913,1101.118350
33.7884,1074.027364,-240.808728,1100.692337
33.8085,1055.869815,-310.005943,1100.438436
33.8285,1033.413403,-377.952922,1100.359793
33.8485,1006.742095,-444.388663,1100.459417
33.8685,975.955499,-509.057743,1100.740170
33.8885,941.168500,-571.711250,1101.204749
33.9085,902.510832,-632.107690,1101.855678
33.9285,860.126603,-690.013865,1102.695292
33.9485,814.173766,-745.205719,1103.725729
33.9685,764.823542,-797.469156,1104.948915
33.9885,712.259794,-846.600815,1106.366555
34.0085,656.678354,-892.408811,1107.980120
34.0285,598.286313,-934.713429,1109.790839
34.0485,537.301261,-973.347780,1111.799688
34.0685,473.950502,-1008.158406,1114.007384
34.0885,408.470223,-1039.005836,1116.414372
34.1085,341.104636,-1065.765092,1119.020824
34.1285,272.105096,-1088.326145,1121.826627
34.1485,201.729182,-1106.594316,1124.831385
34.1685,130.239772,-1120.490617,1128.034405
34.1885,57.904081,-1129.952038,1131.434704
34.2086,-15.007298,-1134.931782,1135.030999
34.2286,-88.221380,-1135.399433,1138.821709
34.2486,-161.463772,-1131.341069,1142.804954
34.2686,-234.459666,-1122.759315,1146.978559
34.2886,-306.934834,-1109.673338,1151.340049
34.3086,-378.616616,-1092.118778,1155.886659
34.3286,-449.234907,-1070.147628,1160.615331
34.3486,-518.523133,-1043.828044,1165.522726
34.3686,-586.219209,-1013.244109,1170.605221
34.3886,-652.066490,-978.495530,1175.858924
34.4086,-715.814696,-939.697286,1181.279674
34.4286,-777.220809,-896.979218,1186.863051
34.4486,-836.049958,-850.485564,1192.604388
34.4686,-892.076260,-800.374449,1198.498774
34.4886,-945.083635,-746.817318,1204.541068
34.5086,-994.866589,-689.998327,1210.725907
34.5286,-1041.230947,-630.113687,1217.047716
34.5486,-1083.994562,-567.370961,1223.500722
34.5686,-1122.987965,-501.988329,1230.078962
34.5886,-1158.054981,-434.193809,1236.776294
34.6087,-1189.053287,-364.224443,1243.586412
34.6287,-1215.854931,-292.325455,1250.502853
34.6487,-1238.346793,-218.749379,1257.519014
34.6687,-1256.430990,-143.755154,1264.628158
34.6887,-1270.025238,-67.607212,1271.823431
34.7087,-1279.063143,9.425472,1279.097871
34.7287,-1283.494451,87.070329,1286.444420
34.7487,-1283.285224,165.052169,1293.855937
34.7687,-1278.417974,243.094160,1301.325205
34.7887,-1268.891728,320.918807,1308.844948
34.8087,-1254.722033,398.248941,1316.407840
34.8287,-1235.940913,474.808702,1324.006512
34.8487,-1212.596755,550.324516,1331.633569
34.8687,-1184.754145,624.526067,1339.281596
34.8887,-1152.493644,697.147256,1346.943168
34.9087,-1115.911507,767.927142,1354.610861
34.9287,-1075.119344,836.610864,1362.277263
34.9487,-1030.243736,902.950550,1369.934980
34.9687,-981.425783,966.706187,1377.576647
34.9887,-928.820617,1027.646471,1385.194935
35.0088,-872.596853,1085.549629,1392.782562
35.0288,-812.935998,1140.204194,1400.332296
35.0488,-750.031814,1191.409759,1407.836971
35.0688,-684.089642,1238.977677,1415.289484
35.0888,-615.325672,1282.731732,1422.682810
35.1088,-543.966193,1322.508753,1430.010008
35.1288,-470.246797,1358.159193,1437.264221
35.1488,-394.411548,1389.547648,1444.438692
35.1688,-316.712133,1416.553340,1451.526762
35.1888,-237.406976,1439.070532,1458.521878
35.2088,-156.760332,1457.008904,1465.417602
35.2288,-75.041364,1470.293862,1472.207610
35.2488,7.476799,1478.866803,1478.885703
35.2688,90.518019,1482.685312,1485.445807
35.2888,173.804113,1481.723312,1491.881980
35.3088,257.055824,1475.971148,1498.188415
35.3288,339.993797,1465.435619,1504.359444
35.3488,422.339551,1450.139950,1510.389543
35.3688,503.816452,1430.123703,1516.273334
35.3888,584.150674,1405.442635,1522.005588
35.4089,663.072150,1376.168500,1527.581231
35.4289,740.315513,1342.388790,1532.995343
35.4489,815.621014,1304.206421,1538.243163
35.4689,888.735423,1261.739374,1543.320090
35.4889,959.412904,1215.120271,1548.221688
35.5089,1027.415868,1164.495907,1552.943683
35.5289,1092.515785,1110.026735,1557.481972
35.5489,1154.493978,1051.886294,1561.832616
35.5689,1213.142370,990.260606,1565.991851
35.5889,1268.264198,925.347512,1569.956080
35.6089,1319.674685,857.355985,1573.721881
35.6289,1367.201672,786.505392,1577.286005
35.6489,1410.686197,713.024729,1580.645378
35.6689,1449.983040,637.151814,1583.797098
35.6889,1484.961204,559.132461,1586.738442
35.7089,1515.504358,479.219617,1589.466860
35.7289,1541.511223,397.672483,1591.979979
35.7489,1562.895900,314.755609,1594.275599
35.7689,1579.588154,230.737973,1596.351699
35.7889,1591.533633,145.892051,1598.206431
35.8090,1598.694038,60.492862,1599.838121
35.8290,1601.047228,-25.182974,1601.245268
35.8490,1598.587282,-110.858202,1602.426547
35.8690,1591.324487,-196.255885,1603.380801
35.8890,1579.285283,-281.100361,1604.107047
35.9090,1562.512146,-365.118190,1604.604468
35.9290,1541.063414,-448.039097,1604.872418
35.9490,1515.013059,-529.596898,1604.910416
35.9690,1484.450406,-609.530408,1604.718145
35.9890,1449.479795,-687.584338,1604.295452
36.0090,1410.220196,-763.510161,1603.642344
36.0290,1366.804771,-837.066956,1602.758987
36.0490,1319.380383,-908.022225,1601.645703
36.0690,1268.107068,-976.152681,1600.302969
36.0890,1213.157449,-1041.244993,1598.731413
36.1090,1154.716119,-1103.096504,1596.931813
36.1290,1092.978976,-1161.515908,1594.905091
36.1490,1028.152522,-1216.323882,1592.652314
36.1690,960.453125,-1267.353677,1590.174691
36.1890,890.106251,-1314.451667,1587.473566
36.2091,817.345665,-1357.477843,1584.550419
36.2291,742.412598,-1396.306268,1581.406861
36.2491,665.554901,-1430.825470,1578.044630
36.2691,587.026171,-1460.938797,1574.465589
36.2891,507.084856,-1486.564703,1570.671725
36.3091,425.993354,-1507.636997,1566.665137
36.3291,344.017090,-1524.105026,1562.448043
36.3491,261.423595,-1535.933805,1558.022769
36.3691,178.481571,-1543.104096,1553.391748
36.3891,95.459959,-1545.612428,1548.557516
